Core,Date,Time,Run,Headspace,Valve
BC2-4,7/25/18,9.46-10.56,1,17,4
BC2-9,7/25/18,9.46-10.56,1,16,5
BC13-6,7/25/18,9.46-10.56,1,16.5,6
BC2-2,7/25/18,9.46-10.56,1,16.5,7
BC13-1,7/25/18,9.46-10.56,1,17,8
BC13-10,7/25/18,9.46-10.56,1,18,9
BC2-6,7/25/18,9.46-10.56,1,15,10
BC13-15,7/25/18,9.46-10.56,1,15,11
BC13-4,7/25/18,9.46-10.56,1,17.5,12
BC13-3,7/25/18,9.46-10.56,1,17,13
BC13-9,7/25/18,9.46-10.56,1,19,14
BC13-7,7/25/18,9.46-10.56,1,15,15
BC3-8,7/25/18,11.21-12.27,2,17,1
BC3-15,7/25/18,11.21-12.27,2,16.5,3
BC3-11,7/25/18,11.21-12.27,2,17,4
BC2-3,7/25/18,11.21-12.27,2,16,5
BC2-14,7/25/18,11.21-12.27,2,17.5,6
BC2-8,7/25/18,11.21-12.27,2,17,7
BC3-13,7/25/18,11.21-12.27,2,16.5,8
BC2-11,7/25/18,11.21-12.27,2,16.5,9
BC3-6,7/25/18,11.21-12.27,2,15,10
BC2-12,7/25/18,11.21-12.27,2,17,11
BC2-1,7/25/18,11.21-12.27,2,15,12
BC3-10,7/25/18,11.21-12.27,2,17,13
BC3-12,7/25/18,11.21-12.27,2,15,14
BC3-4,7/25/18,11.21-12.27,2,16.5,15
BC4-6,7/25/18,12.57-2.02,3,15,1
BC4-2,7/25/18,12.57-2.02,3,17.5,3
BC3-1,7/25/18,12.57-2.02,3,18,5
BC4-5,7/25/18,12.57-2.02,3,15,6
BC4-4,7/25/18,12.57-2.02,3,17,7
BC4-14,7/25/18,12.57-2.02,3,15,8
BC3-9,7/25/18,12.57-2.02,3,16.5,10
BC4-13,7/25/18,12.57-2.02,3,15.5,11
BC4-7,7/25/18,12.57-2.02,3,15,12
BC4-1,7/25/18,12.57-2.02,3,16,13
BC4-11,7/25/18,12.57-2.02,3,15,14
BC4-10,7/25/18,12.57-2.02,3,15,15
BC3-12,7/26/18,7.49-8.58,1,12,1
BC4-14,7/26/18,7.49-8.58,1,12.5,3
BC4-6,7/26/18,7.49-8.58,1,15,4
BC4-5,7/26/18,7.49-8.58,1,15,5
BC4-4,7/26/18,7.49-8.58,1,16,6
BC3-1,7/26/18,7.49-8.58,1,15.5,7
BC4-2,7/26/18,7.49-8.58,1,16,8
BC4-11,7/26/18,7.49-8.58,1,15,9
BC4-1,7/26/18,7.49-8.58,1,16,10
BC4-7,7/26/18,7.49-8.58,1,15,11
BC4-10,7/26/18,7.49-8.58,1,15,12
BC4-13,7/26/18,7.49-8.58,1,15.5,13
BC3-9,7/26/18,7.49-8.58,1,16.5,14
BC3-15,7/26/18,7.49-8.58,1,16.5,15
BC3-12,7/26/18,9.49-10.59,2,15,1
BC4-14,7/26/18,9.49-10.59,2,15,3
BC4-6,7/26/18,9.49-10.59,2,15,4
BC4-5,7/26/18,9.49-10.59,2,15,5
BC4-4,7/26/18,9.49-10.59,2,17,6
BC3-1,7/26/18,9.49-10.59,2,18,7
BC4-2,7/26/18,9.49-10.59,2,17.5,8
BC4-11,7/26/18,9.49-10.59,2,15,9
BC4-1,7/26/18,9.49-10.59,2,16,10
BC4-7,7/26/18,9.49-10.59,2,15,11
BC4-10,7/26/18,9.49-10.59,2,15,12
BC4-13,7/26/18,9.49-10.59,2,15.5,13
BC3-9,7/26/18,9.49-10.59,2,16.5,14
BC3-15,7/26/18,9.49-10.59,2,16.5,15
BC2-12,7/26/18,11.13-12.19,3,15,1
BC3-4,7/26/18,11.13-12.19,3,14,3
BC3-10,7/26/18,11.13-12.19,3,13.5,4
BC2-11,7/26/18,11.13-12.19,3,16.5,5
BC2-9,7/26/18,11.13-12.19,3,16,6
BC2-2,7/26/18,11.13-12.19,3,16.5,7
BC3-11,7/26/18,11.13-12.19,3,15.5,8
BC3-8,7/26/18,11.13-12.19,3,17,9
